occurrence_year,occurrence_date,occurrence_time,primary_offence,arrest_made,hour
2020,2020-02-28,12:08,Uttering Threats - Bodily Harm,YES,12
2020,2020-03-02,00:00,Mischief Under $5000,NO,0
2020,2020-03-08,19:11,Mischief Under $5000,NO,19
2020,2020-03-09,19:13,Criminal Harassment,NO,19
2020,2020-03-09,08:28,Mischief Under $5000,NO,8
2020,2020-03-17,10:54,Uttering Threats - Bodily Harm,NO,10
2020,2020-03-26,19:30,Mischief Under $5000,NO,19
2020,2020-03-30,14:00,Disturbing Religious Worship Or Certain Meetings,NO,14
2020,2020-04-02,12:00,Mischief Under $5000,NO,12
2020,2020-04-03,10:30,Disturbing Religious Worship Or Certain Meetings,NO,10
2020,2020-04-04,21:55,Mischief Under $5000,NO,21
2020,2020-04-04,22:57,Mischief Under $5000,NO,22
2020,2020-04-05,11:00,Mischief Under $5000,NO,11
2020,2020-04-08,14:40,Assault With a Weapon,NO,14
2020,2020-04-08,08:15,Assault,YES,8
2020,2020-04-19,19:55,Disturbing Religious Worship Or Certain Meetings,NO,19
2020,2020-04-21,10:00,Mischief Under $5000,NO,10
2020,2020-04-22,17:00,Criminal Harassment,NO,17
2020,2020-04-23,17:00,Uttering Threats - Bodily Harm,NO,17
2020,2020-04-25,21:13,Assault,NO,21
2020,2020-04-25,02:24,Criminal Harassment,NO,2
2020,2020-05-01,17:30,Disturbing Religious Worship Or Certain Meetings,NO,17
2020,2020-05-05,08:20,Disturbing Religious Worship Or Certain Meetings,NO,8
2020,2020-05-07,13:14,Assault,YES,13
2020,2020-05-10,12:00,Harassing Communications,NO,12
2020,2020-05-15,14:37,Disturbing Religious Worship Or Certain Meetings,NO,14
2020,2020-05-16,10:52,Criminal Harassment,YES,10
2020,2020-05-16,18:00,Uttering Threats - Property,NO,18
2020,2020-05-18,09:45,Disturbing Religious Worship Or Certain Meetings,NO,9
2020,2020-05-21,13:30,Assault,YES,13
2020,2020-05-22,21:40,Mischief Under $5000,YES,21
2020,2020-05-23,05:45,Criminal Harassment,YES,5
2020,2020-05-25,22:08,Mischief Under $5000,NO,22
2020,2020-05-25,08:25,Assault,NO,8
2020,2020-05-26,12:00,Mischief Under $5000,NO,12
2020,2020-05-26,02:36,Mischief Under $5000,YES,2
2020,2020-05-26,00:01,"Mischief To Religious Property, Educational Institutions, Etc.",NO,0
2020,2020-05-29,19:00,Mischief Under $5000,YES,19
2020,2020-05-30,16:00,Mischief Under $5000,NO,16
2020,2020-05-30,12:00,Mischief Under $5000,NO,12
2020,2020-05-30,05:07,Mischief Under $5000,NO,5
2020,2020-06-01,02:30,Criminal Harassment,YES,2
2020,2020-06-01,11:00,Mischief Under $5000,NO,11
2020,2020-06-02,07:53,Mischief Under $5000,NO,7
2020,2020-06-02,14:00,Mischief Under $5000,NO,14
2020,2020-06-03,13:00,Criminal Harassment,NO,13
2020,2020-06-05,23:00,Mischief Under $5000,NO,23
2020,2020-06-06,12:30,Mischief Interfere With Property,NO,12
2020,2020-06-06,20:41,Assault,YES,20
2020,2020-06-09,15:30,Mischief Interfere With Property,YES,15
2020,2020-06-11,09:27,Mischief Interfere With Property,NO,9
2020,2020-06-13,06:37,"Mischief To Religious Property, Educational Institutions, Etc.",NO,6
2020,2020-06-16,21:38,Assault,NO,21
2020,2020-06-16,14:30,Assault,YES,14
2020,2020-06-18,14:24,Assault,YES,14
2020,2020-06-19,04:20,Assault With a Weapon,YES,4
2020,2020-06-20,14:00,Mischief Interfere With Property,NO,14
2020,2020-06-21,12:07,Wilful Promotion of Hatred,NO,12
2020,2020-06-26,13:00,Mischief Under $5000,NO,13
2020,2020-06-26,20:48,Mischief Under $5000,NO,20
2020,2020-06-26,16:40,Criminal Harassment,YES,16
2020,2020-06-28,15:00,Mischief Under $5000,NO,15
2020,2020-06-28,00:13,Mischief Under $5000,NO,0
2020,2020-06-28,00:25,Assault,YES,0
2020,2020-06-28,14:00,Mischief Under $5000,NO,14
2020,2020-06-30,18:00,Assault,YES,18
2020,2020-07-02,21:02,Assault With a Weapon,YES,21
2020,2020-07-03,20:12,Assault,YES,20
2020,2020-07-06,17:30,Criminal Harassment,NO,17
2020,2020-07-06,03:00,Uttering Threats - Bodily Harm,NO,3
2020,2020-07-10,10:00,Mischief Under $5000,NO,10
2020,2020-07-16,19:00,Mischief Under $5000,NO,19
2020,2020-07-17,07:20,Assault,YES,7
2020,2020-07-17,09:30,Mischief Under $5000,NO,9
2020,2020-07-18,20:45,Assault,NO,20
2020,2020-07-19,13:27,Mischief Under $5000,NO,13
2020,2020-07-20,13:20,Uttering Threats - Bodily Harm,NO,13
2020,2020-07-22,22:23,Assault,YES,22
2020,2020-07-22,09:00,Wilful Promotion of Hatred,NO,9
2020,2020-07-23,11:40,Harassing Communications,NO,11
2020,2020-07-23,14:40,Disturbing Religious Worship Or Certain Meetings,NO,14
2020,2020-07-27,19:50,Assault With a Weapon,NO,19
2020,2020-07-30,21:50,Mischief Under $5000,NO,21
2020,2020-07-30,22:00,Mischief Under $5000,NO,22
2020,2020-07-31,13:00,Criminal Harassment,NO,13
2020,2020-07-31,13:06,Uttering Threats - Property,NO,13
2020,2020-08-01,00:00,Mischief Under $5000,NO,0
2020,2020-08-06,12:00,Uttering Threats - Bodily Harm,NO,12
2020,2020-08-07,14:08,Mischief Under $5000,NO,14
2020,2020-08-11,08:00,Mischief Over $5000,NO,8
2020,2020-08-11,12:30,Uttering Threats - Bodily Harm,NO,12
2020,2020-08-12,08:20,Mischief Under $5000,NO,8
2020,2020-08-12,12:50,Uttering Threats - Bodily Harm,NO,12
2020,2020-08-13,20:00,Mischief Under $5000,NO,20
2020,2020-08-13,17:00,Mischief To Data,NO,17
2020,2020-08-15,11:30,Mischief Under $5000,NO,11
2020,2020-08-16,10:05,Assault,YES,10
2020,2020-08-18,16:30,Mischief Under $5000,NO,16
2020,2020-08-19,11:00,Uttering Threats - Bodily Harm,NO,11
2020,2020-08-20,16:00,Mischief Under $5000,NO,16
2020,2020-08-23,21:00,Assault,YES,21
2020,2020-08-24,11:03,Mischief Under $5000,NO,11
2020,2020-08-24,12:30,Mischief Under $5000,NO,12
2020,2020-08-24,22:30,Mischief Under $5000,NO,22
2020,2020-08-25,16:11,Assault,NO,16
2020,2020-08-27,22:35,Assault With a Weapon,YES,22
2020,2020-08-30,03:18,Mischief Under $5000,NO,3
2020,2020-08-31,15:38,Assault,NO,15
2020,2020-08-31,12:00,Assault,YES,12
2020,2020-09-03,03:49,Mischief Under $5000,NO,3
2020,2020-09-03,16:00,Assault,NO,16
2020,2020-09-05,12:17,Assault,NO,12
2020,2020-09-08,17:00,Wilful Promotion of Hatred,NO,17
2020,2020-09-08,12:00,Criminal Harassment,NO,12
2020,2020-09-08,00:00,Criminal Harassment,YES,0
2020,2020-09-09,12:21,Assault,YES,12
2020,2020-09-09,10:00,Mischief Under $5000,NO,10
2020,2020-09-09,08:38,Mischief Under $5000,NO,8
2020,2020-09-10,16:30,Assault,NO,16
2020,2020-09-11,13:30,Assault,YES,13
2020,2020-09-11,08:44,Mischief Under $5000,NO,8
2020,2020-09-13,20:00,Mischief Under $5000,NO,20
2020,2020-09-14,05:27,Mischief Under $5000,NO,5
2020,2020-09-17,12:10,Mischief Under $5000,NO,12
2020,2020-09-17,17:30,Assault,NO,17
2020,2020-09-20,14:50,Assault,NO,14
2020,2020-09-23,19:40,"Mischief To Religious Property, Educational Institutions, Etc.",NO,19
2020,2020-09-25,15:30,Assault,NO,15
2020,2020-09-29,14:37,Assault With a Weapon,YES,14
2020,2020-09-29,18:00,Mischief Interfere With Property,NO,18
2020,2020-09-30,12:40,Assault,NO,12
2020,2020-09-30,12:00,Criminal Harassment,NO,12
2020,2020-10-02,09:49,Mischief Under $5000,NO,9
2020,2020-10-03,00:00,Mischief Under $5000,NO,0
2020,2020-10-05,18:23,Mischief Under $5000,NO,18
2020,2020-10-09,09:23,Mischief Under $5000,NO,9
2020,2020-10-11,14:15,Mischief Under $5000,NO,14
2020,2020-10-12,03:00,Mischief Under $5000,NO,3
2020,2020-10-13,23:30,Assault With a Weapon,NO,23
2020,2020-10-14,11:45,Mischief Under $5000,NO,11
2020,2020-10-15,19:15,Assault,NO,19
2020,2020-10-15,16:34,Mischief Under $5000,NO,16
2020,2020-10-15,00:00,Mischief Under $5000,NO,0
2020,2020-10-15,16:13,Uttering Threats - Bodily Harm,YES,16
2020,2020-10-17,14:50,Mischief Under $5000,NO,14
2020,2020-10-17,13:50,Criminal Harassment,YES,13
2020,2020-10-21,15:32,Mischief Under $5000,NO,15
2020,2020-10-25,16:04,Wilful Promotion of Hatred,NO,16
2020,2020-10-25,18:55,Mischief Under $5000,NO,18
2020,2020-10-25,00:30,Mischief Under $5000,NO,0
2020,2020-10-26,18:00,Mischief Under $5000,NO,18
2020,2020-10-26,00:00,Mischief Under $5000,YES,0
2020,2020-10-27,22:00,"Mischief To Religious Property, Educational Institutions, Etc.",NO,22
2020,2020-10-28,17:04,Assault,NO,17
2020,2020-10-29,09:00,Mischief Under $5000,NO,9
2020,2020-10-31,11:20,Mischief Under $5000,NO,11
2020,2020-11-02,10:30,Mischief Under $5000,NO,10
2020,2020-11-03,14:00,Criminal Harassment,NO,14
2020,2020-11-03,13:45,Harassing Communications,NO,13
2020,2020-11-05,12:19,Assault,NO,12
2020,2020-11-06,04:00,Mischief Under $5000,NO,4
2020,2020-11-07,11:20,Assault,NO,11
2020,2020-11-10,12:00,Mischief Under $5000,NO,12
2020,2020-11-11,14:00,Criminal Harassment,NO,14
2020,2020-11-11,12:00,Mischief Under $5000,NO,12
2020,2020-11-12,08:36,Uttering Threats - Bodily Harm,YES,8
2020,2020-11-14,11:20,Assault,NO,11
2020,2020-11-16,14:15,Disturbing Religious Worship Or Certain Meetings,NO,14
2020,2020-11-23,19:55,Assault,YES,19
2020,2020-11-25,06:58,Mischief Under $5000,NO,6
2020,2020-11-25,09:30,Assault Peace Officer,YES,9
2020,2020-11-27,14:30,Assault,NO,14
2020,2020-11-28,11:50,Mischief Under $5000,NO,11
2020,2020-12-01,16:02,Assault With a Weapon,YES,16
2020,2020-12-04,22:00,"Mischief To Religious Property, Educational Institutions, Etc.",YES,22
2020,2020-12-07,13:30,Mischief Under $5000,NO,13
2020,2020-12-08,14:30,Mischief Under $5000,NO,14
2020,2020-12-11,10:18,Uttering Threats - Bodily Harm,YES,10
